lam chi alb
0.214E+02 0.614E+03 0.460E-03
0.226E+02 0.560E+03 0.402E-03
0.240E+02 0.511E+03 0.351E-03
0.258E+02 0.465E+03 0.298E-03
0.283E+02 0.422E+03 0.247E-03
0.308E+02 0.386E+03 0.204E-03
0.328E+02 0.356E+03 0.204E-03
0.347E+02 0.324E+03 0.203E-03
0.366E+02 0.291E+03 0.194E-03
0.386E+02 0.258E+03 0.144E-03
0.410E+02 0.224E+03 0.102E-03
0.436E+02 0.191E+03 0.101E-03
0.464E+02 0.162E+03 0.101E-03
0.495E+02 0.139E+03 0.101E-03
0.529E+02 0.119E+03 0.101E-03
0.565E+02 0.101E+03 0.100E-03
0.604E+02 0.863E+02 0.998E-04
0.647E+02 0.736E+02 0.985E-04
0.692E+02 0.627E+02 0.913E-04
0.741E+02 0.536E+02 0.425E-04
0.793E+02 0.459E+02 0.000E+00
0.849E+02 0.393E+02 0.000E+00
0.910E+02 0.336E+02 0.000E+00
0.975E+02 0.289E+02 0.000E+00
0.105E+03 0.248E+02 0.000E+00
0.112E+03 0.214E+02 0.000E+00
0.120E+03 0.187E+02 0.000E+00
0.129E+03 0.163E+02 0.000E+00
0.137E+03 0.144E+02 0.000E+00
0.145E+03 0.128E+02 0.000E+00
0.154E+03 0.112E+02 0.000E+00
0.164E+03 0.972E+01 0.000E+00
0.176E+03 0.837E+01 0.000E+00
0.189E+03 0.719E+01 0.000E+00
0.204E+03 0.618E+01 0.000E+00
0.220E+03 0.530E+01 0.000E+00
0.236E+03 0.456E+01 0.000E+00
0.252E+03 0.396E+01 0.000E+00
0.269E+03 0.343E+01 0.000E+00
0.288E+03 0.294E+01 0.000E+00
0.308E+03 0.253E+01 0.000E+00
0.331E+03 0.217E+01 0.000E+00
0.355E+03 0.187E+01 0.000E+00
0.382E+03 0.162E+01 0.000E+00
0.411E+03 0.140E+01 0.000E+00
0.442E+03 0.120E+01 0.000E+00
0.477E+03 0.104E+01 0.000E+00
0.516E+03 0.903E+00 0.000E+00
0.557E+03 0.784E+00 0.000E+00
0.603E+03 0.681E+00 0.000E+00
0.654E+03 0.593E+00 0.000E+00
0.711E+03 0.516E+00 0.000E+00
0.775E+03 0.448E+00 0.000E+00
0.846E+03 0.389E+00 0.000E+00
0.923E+03 0.337E+00 0.000E+00
0.101E+04 0.292E+00 0.000E+00
0.110E+04 0.253E+00 0.000E+00
0.120E+04 0.220E+00 0.000E+00
0.131E+04 0.190E+00 0.000E+00
0.143E+04 0.165E+00 0.000E+00
0.156E+04 0.143E+00 0.000E+00
0.170E+04 0.124E+00 0.000E+00
0.186E+04 0.108E+00 0.000E+00
0.203E+04 0.933E-01 0.000E+00
0.221E+04 0.809E-01 0.000E+00
0.241E+04 0.701E-01 0.000E+00
0.263E+04 0.608E-01 0.000E+00
0.287E+04 0.528E-01 0.000E+00
0.313E+04 0.457E-01 0.000E+00
0.341E+04 0.396E-01 0.000E+00
0.372E+04 0.343E-01 0.000E+00
0.406E+04 0.297E-01 0.000E+00
0.443E+04 0.257E-01 0.000E+00
0.482E+04 0.222E-01 0.000E+00
0.526E+04 0.193E-01 0.000E+00
0.574E+04 0.167E-01 0.000E+00
0.626E+04 0.144E-01 0.000E+00
0.682E+04 0.125E-01 0.000E+00
0.743E+04 0.108E-01 0.000E+00
0.811E+04 0.940E-02 0.000E+00
0.883E+04 0.814E-02 0.000E+00
0.960E+04 0.705E-02 0.000E+00
0.104E+05 0.612E-02 0.000E+00
0.114E+05 0.530E-02 0.000E+00
0.123E+05 0.459E-02 0.000E+00
0.134E+05 0.398E-02 0.000E+00
0.146E+05 0.345E-02 0.000E+00
0.159E+05 0.299E-02 0.000E+00
0.173E+05 0.259E-02 0.000E+00
0.188E+05 0.225E-02 0.000E+00
0.204E+05 0.195E-02 0.000E+00
0.222E+05 0.169E-02 0.000E+00
0.242E+05 0.146E-02 0.000E+00
0.263E+05 0.127E-02 0.000E+00
0.286E+05 0.110E-02 0.000E+00
0.311E+05 0.954E-03 0.000E+00
0.338E+05 0.827E-03 0.000E+00
0.368E+05 0.717E-03 0.000E+00
0.400E+05 0.621E-03 0.000E+00
0.435E+05 0.539E-03 0.000E+00
0.473E+05 0.467E-03 0.000E+00
0.515E+05 0.405E-03 0.000E+00
0.560E+05 0.351E-03 0.000E+00
0.609E+05 0.304E-03 0.000E+00
0.662E+05 0.264E-03 0.000E+00
0.720E+05 0.228E-03 0.000E+00
0.783E+05 0.198E-03 0.000E+00
0.852E+05 0.172E-03 0.000E+00
0.926E+05 0.149E-03 0.000E+00
0.101E+06 0.129E-03 0.000E+00
0.110E+06 0.112E-03 0.000E+00
0.119E+06 0.969E-04 0.000E+00
0.130E+06 0.840E-04 0.000E+00
0.141E+06 0.728E-04 0.000E+00
0.153E+06 0.631E-04 0.000E+00
0.167E+06 0.547E-04 0.000E+00
0.181E+06 0.474E-04 0.000E+00
0.197E+06 0.411E-04 0.000E+00
0.215E+06 0.356E-04 0.000E+00
0.233E+06 0.309E-04 0.000E+00
0.254E+06 0.268E-04 0.000E+00
0.276E+06 0.232E-04 0.000E+00
0.300E+06 0.201E-04 0.000E+00
