Full    n(H)    Lambda0     Kappa0    Lambda1     Kappa1    Lambda2     Kappa2
        cm-3       um       cm2/g        um       cm2/g        um       cm2/g

  63    0e+00   3.50e+02   3.64e+00   3.50e+02   7.79e+00   3.50e+02   5.91e+00
  64    0e+00   5.00e+02   1.77e+00   5.00e+02   3.79e+00   5.00e+02   2.90e+00
  65    0e+00   7.00e+02   9.09e-01   7.00e+02   1.93e+00   7.00e+02   1.48e+00
  66    0e+00   1.00e+03   4.77e-01   1.00e+03   1.01e+00   1.00e+03   7.81e-01
  67    0e+00   1.30e+03   3.10e-01   1.30e+03   6.49e-01   1.30e+03   5.11e-01
  68    1e+05   1.00e+00   9.66e+03   1.00e+00   1.16e+04   1.00e+00   1.12e+04
  69    1e+05   1.17e+00   8.27e+03   1.17e+00   9.81e+03   1.17e+00   9.54e+03
  70    1e+05   1.36e+00   6.95e+03   1.36e+00   8.30e+03   1.36e+00   8.02e+03
  71    1e+05   1.59e+00   5.57e+03   1.59e+00   6.87e+03   1.59e+00   6.49e+03
  72    1e+05   1.85e+00   4.45e+03   1.85e+00   5.74e+03   1.85e+00   5.24e+03
  73    1e+05   2.15e+00   3.51e+03   2.15e+00   4.79e+03   2.15e+00   4.19e+03
  74    1e+05   2.51e+00   2.71e+03   2.51e+00   3.95e+03   2.51e+00   3.28e+03
  75    1e+05   2.71e+00   2.40e+03   2.71e+00   3.59e+03   2.71e+00   2.90e+03
  76    1e+05   2.82e+00   2.26e+03   2.82e+00   7.43e+03   2.82e+00   3.16e+03
  77    1e+05   2.93e+00   2.13e+03   2.93e+00   3.24e+04   2.93e+00   5.75e+03
  78    1e+05   3.04e+00   2.01e+03   3.04e+00   3.48e+04   3.04e+00   5.39e+03
  79    1e+05   3.16e+00   1.89e+03   3.16e+00   1.78e+04   3.16e+00   3.67e+03
  80    1e+05   3.29e+00   1.78e+03   3.29e+00   5.70e+03   3.29e+00   2.49e+03
  81    1e+05   3.41e+00   1.67e+03   3.41e+00   3.45e+03   3.41e+00   2.16e+03
  82    1e+05   3.55e+00   1.56e+03   3.55e+00   2.88e+03   3.55e+00   1.99e+03
  83    1e+05   3.69e+00   1.49e+03   3.69e+00   2.11e+03   3.69e+00   1.84e+03
  84    1e+05   3.83e+00   1.42e+03   3.83e+00   2.06e+03   3.83e+00   1.76e+03
  85    1e+05   3.98e+00   1.36e+03   3.98e+00   1.94e+03   3.98e+00   1.68e+03
  86    1e+05   4.30e+00   1.23e+03   4.30e+00   1.97e+03   4.30e+00   1.54e+03
  87    1e+05   4.64e+00   1.11e+03   4.64e+00   2.09e+03   4.64e+00   1.43e+03
  88    1e+05   5.01e+00   1.01e+03   5.01e+00   1.43e+03   5.01e+00   1.26e+03
  89    1e+05   5.41e+00   9.26e+02   5.41e+00   1.29e+03   5.41e+00   1.15e+03
  90    1e+05   5.84e+00   8.70e+02   5.84e+00   2.76e+03   5.84e+00   1.23e+03
  91    1e+05   6.31e+00   8.42e+02   6.31e+00   2.45e+03   6.31e+00   1.17e+03
  92    1e+05   6.81e+00   8.14e+02   6.81e+00   2.28e+03   6.81e+00   1.12e+03
  93    1e+05   7.36e+00   7.86e+02   7.36e+00   1.48e+03   7.36e+00   1.01e+03
  94    1e+05   7.94e+00   7.73e+02   7.94e+00   1.16e+03   7.94e+00   9.60e+02
  95    1e+05   8.58e+00   8.63e+02   8.58e+00   1.07e+03   8.58e+00   1.02e+03
  96    1e+05   8.91e+00   1.16e+03   8.91e+00   1.70e+03   8.91e+00   1.33e+03
  97    1e+05   9.26e+00   1.49e+03   9.26e+00   1.66e+03   9.26e+00   1.62e+03
  98    1e+05   9.62e+00   1.89e+03   9.62e+00   2.74e+03   9.62e+00   2.08e+03
  99    1e+05   9.81e+00   2.06e+03   9.81e+00   5.38e+03   9.81e+00   2.53e+03
 100    1e+05   1.00e+01   2.20e+03   1.00e+01   3.07e+03   1.00e+01   2.42e+03
 101    1e+05   1.04e+01   2.06e+03   1.04e+01   3.44e+03   1.04e+01   2.35e+03
 102    1e+05   1.08e+01   1.78e+03   1.08e+01   5.04e+03   1.08e+01   2.28e+03
 103    1e+05   1.12e+01   1.58e+03   1.12e+01   6.96e+03   1.12e+01   2.33e+03
 104    1e+05   1.17e+01   1.33e+03   1.17e+01   8.37e+03   1.17e+01   2.25e+03
 105    1e+05   1.26e+01   8.57e+02   1.26e+01   8.59e+03   1.26e+01   1.74e+03
 106    1e+05   1.36e+01   7.16e+02   1.36e+01   7.22e+03   1.36e+01   1.42e+03
 107    1e+05   1.47e+01   6.67e+02   1.47e+01   5.47e+03   1.47e+01   1.20e+03
 108    1e+05   1.59e+01   7.81e+02   1.59e+01   4.34e+03   1.59e+01   1.19e+03
 109    1e+05   1.71e+01   1.02e+03   1.71e+01   3.81e+03   1.71e+01   1.36e+03
 110    1e+05   1.85e+01   1.07e+03   1.85e+01   3.46e+03   1.85e+01   1.40e+03
 111    1e+05   2.00e+01   8.63e+02   2.00e+01   2.78e+03   2.00e+01   1.15e+03
 112    1e+05   2.15e+01   6.94e+02   2.15e+01   2.10e+03   2.15e+01   9.23e+02
