Full    n(H)    Lambda0     Kappa0    Lambda1     Kappa1    Lambda2     Kappa2
        cm-3       um       cm2/g        um       cm2/g        um       cm2/g

 275    1e+08   2.51e+00   4.38e+03   2.51e+00   3.87e+03   2.51e+00   3.73e+03
 276    1e+08   2.71e+00   3.98e+03   2.71e+00   3.48e+03   2.71e+00   3.32e+03
 277    1e+08   2.82e+00   3.78e+03   2.82e+00   7.05e+03   2.82e+00   3.54e+03
 278    1e+08   2.93e+00   3.58e+03   2.93e+00   2.66e+04   2.93e+00   6.30e+03
 279    1e+08   3.04e+00   3.38e+03   3.04e+00   3.02e+04   3.04e+00   6.18e+03
 280    1e+08   3.16e+00   3.18e+03   3.16e+00   1.94e+04   3.16e+00   4.56e+03
 281    1e+08   3.29e+00   2.99e+03   3.29e+00   6.66e+03   3.29e+00   3.14e+03
 282    1e+08   3.41e+00   2.79e+03   3.41e+00   3.89e+03   3.41e+00   2.72e+03
 283    1e+08   3.55e+00   2.60e+03   3.55e+00   3.20e+03   3.55e+00   2.51e+03
 284    1e+08   3.69e+00   2.45e+03   3.69e+00   2.29e+03   3.69e+00   2.31e+03
 285    1e+08   3.83e+00   2.32e+03   3.83e+00   2.22e+03   3.83e+00   2.21e+03
 286    1e+08   3.98e+00   2.20e+03   3.98e+00   2.09e+03   3.98e+00   2.12e+03
 287    1e+08   4.30e+00   1.96e+03   4.30e+00   2.12e+03   4.30e+00   1.95e+03
 288    1e+08   4.64e+00   1.75e+03   4.64e+00   2.28e+03   4.64e+00   1.81e+03
 289    1e+08   5.01e+00   1.57e+03   5.01e+00   1.52e+03   5.01e+00   1.59e+03
 290    1e+08   5.41e+00   1.41e+03   5.41e+00   1.37e+03   5.41e+00   1.44e+03
 291    1e+08   5.84e+00   1.30e+03   5.84e+00   2.96e+03   5.84e+00   1.53e+03
 292    1e+08   6.31e+00   1.24e+03   6.31e+00   2.69e+03   6.31e+00   1.47e+03
 293    1e+08   6.81e+00   1.18e+03   6.81e+00   2.49e+03   6.81e+00   1.40e+03
 294    1e+08   7.36e+00   1.12e+03   7.36e+00   1.60e+03   7.36e+00   1.26e+03
 295    1e+08   7.94e+00   1.08e+03   7.94e+00   1.23e+03   7.94e+00   1.18e+03
 296    1e+08   8.58e+00   1.16e+03   8.58e+00   1.12e+03   8.58e+00   1.22e+03
 297    1e+08   8.91e+00   1.49e+03   8.91e+00   1.78e+03   8.91e+00   1.56e+03
 298    1e+08   9.26e+00   1.86e+03   9.26e+00   1.72e+03   9.26e+00   1.86e+03
 299    1e+08   9.62e+00   2.32e+03   9.62e+00   2.78e+03   9.62e+00   2.35e+03
 300    1e+08   9.81e+00   2.53e+03   9.81e+00   5.50e+03   9.81e+00   2.86e+03
 301    1e+08   1.00e+01   2.74e+03   1.00e+01   3.21e+03   1.00e+01   2.78e+03
 302    1e+08   1.04e+01   2.72e+03   1.04e+01   3.50e+03   1.04e+01   2.72e+03
 303    1e+08   1.08e+01   2.49e+03   1.08e+01   5.08e+03   1.08e+01   2.71e+03
 304    1e+08   1.12e+01   2.30e+03   1.12e+01   6.98e+03   1.12e+01   2.82e+03
 305    1e+08   1.17e+01   2.05e+03   1.17e+01   8.45e+03   1.17e+01   2.83e+03
 306    1e+08   1.26e+01   1.33e+03   1.26e+01   9.05e+03   1.26e+01   2.29e+03
 307    1e+08   1.36e+01   1.06e+03   1.36e+01   8.02e+03   1.36e+01   1.88e+03
 308    1e+08   1.47e+01   9.58e+02   1.47e+01   6.34e+03   1.47e+01   1.58e+03
 309    1e+08   1.59e+01   1.06e+03   1.59e+01   5.08e+03   1.59e+01   1.53e+03
 310    1e+08   1.71e+01   1.36e+03   1.71e+01   4.46e+03   1.71e+01   1.73e+03
 311    1e+08   1.85e+01   1.52e+03   1.85e+01   4.10e+03   1.85e+01   1.84e+03
 312    1e+08   2.00e+01   1.36e+03   2.00e+01   3.36e+03   2.00e+01   1.61e+03
 313    1e+08   2.15e+01   1.16e+03   2.15e+01   2.56e+03   2.15e+01   1.33e+03
 314    1e+08   2.51e+01   8.71e+02   2.51e+01   1.40e+03   2.51e+01   9.42e+02
 315    1e+08   2.93e+01   6.68e+02   2.93e+01   6.34e+02   2.93e+01   6.64e+02
 316    1e+08   3.42e+01   5.17e+02   3.42e+01   8.93e+02   3.42e+01   5.45e+02
 317    1e+08   3.69e+01   4.54e+02   3.69e+01   1.16e+03   3.69e+01   5.23e+02
 318    1e+08   3.98e+01   3.96e+02   3.98e+01   1.45e+03   3.98e+01   5.16e+02
 319    1e+08   4.30e+01   3.45e+02   4.30e+01   1.76e+03   4.30e+01   5.12e+02
 320    1e+08   4.64e+01   2.98e+02   4.64e+01   1.81e+03   4.64e+01   4.76e+02
 321    1e+08   5.41e+01   2.19e+02   5.41e+01   1.34e+03   5.41e+01   3.48e+02
 322    1e+08   6.31e+01   1.76e+02   6.31e+01   9.37e+02   6.31e+01   2.64e+02
 323    1e+08   7.36e+01   1.41e+02   7.36e+01   6.22e+02   7.36e+01   1.97e+02
 324    1e+08   8.58e+01   1.14e+02   8.58e+01   3.90e+02   8.58e+01   1.47e+02
 325    1e+08   1.00e+02   9.38e+01   1.00e+02   1.95e+02   1.00e+02   1.07e+02
 326    1e+08   1.17e+02   7.86e+01   1.17e+02   1.28e+02   1.17e+02   8.31e+01
 327    1e+08   1.36e+02   6.57e+01   1.36e+02   8.85e+01   1.36e+02   6.45e+01
 328    1e+08   1.58e+02   5.61e+01   1.58e+02   6.19e+01   1.58e+02   5.03e+01
 329    1e+08   1.85e+02   4.74e+01   1.85e+02   4.23e+01   1.85e+02   3.77e+01
 330    1e+08   2.26e+02   3.89e+01   2.26e+02   2.74e+01   2.26e+02   2.67e+01
 331    1e+08   3.50e+02   2.58e+01   3.50e+02   1.20e+01   3.50e+02   1.24e+01
 332    1e+08   5.00e+02   1.98e+01   5.00e+02   5.72e+00   5.00e+02   6.21e+00
 333    1e+08   7.00e+02   1.26e+01   7.00e+02   2.93e+00   7.00e+02   3.18e+00
 334    1e+08   1.00e+03   7.84e+00   1.00e+03   1.54e+00   1.00e+03   1.69e+00
 335    1e+08   1.30e+03   5.86e+00   1.30e+03   1.00e+00   1.30e+03   1.11e+00
